anc,latitude,block,offensegroup,location,sector,yblock,method,ccn,end_date,longitude,offense_text,neighborhood_cluster,shift,psa,census_tract,ward,bid,octo_record_id,district,xblock,year,report_dat,ucr_rank,offensekey,start_date,voting_precinct,offense,block_group,report_dateonly,report_time,report_hour,report_dayname,report_month,report_weeknum,is_weekend,start_hour,incident_duration_minutes,main_offense,sub_offense,offense_category,method_flag,case_openclose
5D,38.9089671676,1200 - 1399 block of union street ne,property,"38.9089671676,-77.0006939692",5D1,137900.73,others,25024426,2025-02-19 06:09:00,-77.0006939692,burglary,cluster 23,day,501.0,8803.0,5.0,,,5.0,399939.81,2025,2025-02-19 12:43:48,5,property|burglary,2025-02-19 06:08:00,precinct 76,burglary,008803 2,2025-02-19,12:43:48,12,Wednesday,February,8,False,6,1.0,property,burglary,burglary,Others,Closed
3B,38.9225487237,3800 - 3899 block of calvert street nw,property,"38.9225487237,-77.0758746596",2D2,139411.13,others,25008919,2025-01-19 16:48:00,-77.0758746596,theft/other,cluster 14,evening,204.0,702.0,3.0,,,2.0,393420.42,2025,2025-01-19 17:31:17,6,property|theft/other,2025-01-19 15:11:00,precinct 11,theft/other,000702 3,2025-01-19,17:31:17,17,Sunday,January,3,True,15,97.0,property,theft/other,theft,Others,Closed
4C,38.9413416569,4100 - 4199 block of georgia avenue nw,property,"38.9413416569,-77.0253783465",4D3,141494.88,others,25011391,2025-01-24 18:25:00,-77.0253783465,theft/other,cluster 18,evening,404.0,2503.0,4.0,,,4.0,397799.86,2025,2025-01-24 18:50:26,6,property|theft/other,2025-01-24 17:53:00,precinct 47,theft/other,002503 1,2025-01-24,18:50:26,18,Friday,January,4,False,17,32.0,property,theft/other,theft,Others,Closed
2C,38.8998114289,800 - 899 block of h street nw,property,"38.8998114289,-77.0234568133",1D1,136884.63,others,25012908,2025-01-27 18:00:00,-77.0234568133,theft/other,cluster 8,evening,101.0,5802.0,2.0,downtown,,1.0,397965.26,2025,2025-01-27 18:58:48,6,property|theft/other,2025-01-27 13:30:00,precinct 129,theft/other,005802 5,2025-01-27,18:58:48,18,Monday,January,5,False,13,270.0,property,theft/other,theft,Others,Closed
7C,38.8987906035,4800 - 4899 block of nannie helen burroughs avenue ne,property,"38.8987906035,-76.932711419",6D1,136773.2,others,25017149,2025-02-04 19:21:00,-76.932711419,theft/other,cluster 31,evening,602.0,7804.0,7.0,,,6.0,405836.97,2025,2025-02-05 15:48:18,6,property|theft/other,2025-02-04 18:30:00,precinct 98,theft/other,007804 1,2025-02-05,15:48:18,15,Wednesday,February,6,False,18,51.0,property,theft/other,theft,Others,Closed
8F,38.8788444223,900 - 999 block of 1st street se,property,"38.8788444223,-77.0058801803",1D3,134556.8836102995,others,25018676,2025-02-08 19:38:00,-77.0058801803,motor vehicle theft,cluster 27,evening,106.0,7202.0,6.0,capitol riverfront,,1.0,399489.7791654795,2025,2025-02-07 21:11:33,8,property|motor vehicle theft,2025-02-07 19:30:00,precinct 131,motor vehicle theft,007202 2,2025-02-07,21:11:33,21,Friday,February,6,False,19,1448.0,property,motor vehicle theft,theft,Others,Closed
5F,38.9162816665,1st street ne and todd place ne,violent,"38.9162816665,-77.0065470868",5D1,138712.71999816,knife,25008237,,-77.0065470868,assault w/dangerous weapon,cluster 21,midnight,502.0,8701.0,5.0,,,5.0,399432.21001343,2025,2025-01-18 06:04:44,3,violent|assault w/dangerous weapon,2025-01-18 04:24:00,precinct 75,assault w/dangerous weapon,008701 2,2025-01-18,06:04:44,6,Saturday,January,3,True,4,,violent,assault w/dangerous weapon,assault,Weapon,Open
4D,38.9480265775,4700 - 4799 block of 3rd place nw,property,"38.9480265775,-77.0165391053",4D2,142236.79,others,25006097,2025-01-13 20:40:00,-77.0165391053,theft f/auto,cluster 18,midnight,407.0,2202.0,4.0,,,4.0,398566.3,2025,2025-01-14 00:02:41,7,property|theft f/auto,2025-01-13 18:00:00,precinct 55,theft f/auto,002202 2,2025-01-14,00:02:41,0,Tuesday,January,3,False,18,160.0,property,theft f/auto,theft,Others,Closed
6B,38.8879841884,100 - 199 block of 9th street se,property,"38.8879841884,-76.9937610707",1D2,135571.47,others,25015768,2025-02-02 04:07:00,-76.9937610707,motor vehicle theft,cluster 26,midnight,107.0,6700.0,6.0,,,1.0,400541.28,2025,2025-02-02 04:27:37,8,property|motor vehicle theft,2025-02-02 03:18:00,precinct 88,motor vehicle theft,006700 3,2025-02-02,04:27:37,4,Sunday,February,5,True,3,49.0,property,motor vehicle theft,theft,Others,Closed
2C,38.9046963644,1100 - 1199 block of 16th street nw,property,"38.9046963644,-77.0365369787",2D3,137427.27,others,25014236,2025-01-30 09:04:00,-77.0365369787,theft/other,cluster 6,day,207.0,10100.0,2.0,downtown,,2.0,396830.85,2025,2025-01-30 10:31:57,6,property|theft/other,2025-01-30 08:57:00,precinct 17,theft/other,010100 1,2025-01-30,10:31:57,10,Thursday,January,5,False,8,7.0,property,theft/other,theft,Others,Closed
4A,38.9687528166,1600 - 1699 block of underwood street nw,property,"38.9687528166,-77.0371741337",4D1,144538.12,others,25016784,2025-02-04 07:50:00,-77.0371741337,motor vehicle theft,cluster 17,day,402.0,1803.0,4.0,,,4.0,396778.48,2025,2025-02-04 08:18:31,8,property|motor vehicle theft,2025-02-03 16:30:00,precinct 61,motor vehicle theft,001803 1,2025-02-04,08:18:31,8,Tuesday,February,6,False,16,920.0,property,motor vehicle theft,theft,Others,Closed
1C,38.918281202,2100 - 2199 block of 18th street nw,property,"38.918281202,-77.0416808348",3D3,138935.49,others,25018235,2025-02-07 23:10:00,-77.0416808348,motor vehicle theft,cluster 1,midnight,303.0,4002.0,1.0,adams morgan,,3.0,396385.37,2025,2025-02-07 01:17:24,8,property|motor vehicle theft,2025-02-06 20:45:00,precinct 25,motor vehicle theft,004002 2,2025-02-07,01:17:24,1,Friday,February,6,False,20,1585.0,property,motor vehicle theft,theft,Others,Closed
8E,38.8477819906,2200 - 2299 block of savannah street se,property,"38.8477819906,-76.9719071694",7D2,131109.0853990999,others,25009270,2025-01-20 12:55:00,-76.9719071694,theft/other,cluster 38,day,704.0,7409.0,8.0,,,7.0,402438.664480216,2025,2025-01-20 13:10:48,6,property|theft/other,2025-01-20 12:40:00,precinct 116,theft/other,007409 2,2025-01-20,13:10:48,13,Monday,January,4,False,12,15.0,property,theft/other,theft,Others,Closed
2C,38.8952349608,1200 - 1299 block of pennsylvania avenue nw,property,"38.8952349608,-77.0288635145",2D3,136376.74,others,25021250,2025-02-20 08:03:00,-77.0288635145,theft/other,cluster 8,day,209.0,5802.0,2.0,downtown,,2.0,397496.1,2025,2025-02-13 09:18:39,6,property|theft/other,2025-02-13 08:30:00,precinct 129,theft/other,005802 3,2025-02-13,09:18:39,9,Thursday,February,7,False,8,10053.0,property,theft/other,theft,Others,Closed
3D,38.945126307,4800 - 4899 block of massachusetts avenue nw,property,"38.945126307,-77.0957816153",2D2,141919.06,others,25021340,2025-02-13 11:30:00,-77.0957816153,theft f/auto,cluster 13,day,205.0,903.0,3.0,,,2.0,391696.79,2025,2025-02-13 12:55:29,7,property|theft f/auto,2025-02-13 11:11:00,precinct 9,theft f/auto,000903 2,2025-02-13,12:55:29,12,Thursday,February,7,False,11,19.0,property,theft f/auto,theft,Others,Closed
5C,38.9172864211,1800 - 2299 block of new york avenue ne,property,"38.9172864211,-76.9751125549",5D2,138824.53,others,25024151,2025-02-18 16:50:00,-76.9751125549,theft f/auto,cluster 22,evening,505.0,11100.0,5.0,,,5.0,402158.31,2025,2025-02-18 19:48:50,7,property|theft f/auto,2025-02-18 09:15:00,precinct 72,theft f/auto,011100 3,2025-02-18,19:48:50,19,Tuesday,February,8,False,9,455.0,property,theft f/auto,theft,Others,Closed
5D,38.9103892909,400 - 500 block of penn street ne,property,"38.9103892909,-76.9975444831",5D1,138058.6,others,25008152,2025-01-17 23:35:00,-76.9975444831,theft f/auto,cluster 23,midnight,501.0,8803.0,5.0,,,5.0,400212.97,2025,2025-01-17 23:35:47,7,property|theft f/auto,2025-01-17 23:19:00,precinct 76,theft f/auto,008803 2,2025-01-17,23:35:47,23,Friday,January,3,False,23,16.0,property,theft f/auto,theft,Others,Closed
7C,38.89367998,300 - 399 block of 61st street ne,property,"38.89367998,-76.9136715057",6D1,136207.270107831,others,25001122,2025-01-03 08:36:00,-76.9136715057,theft f/auto,cluster 31,day,608.0,7808.0,7.0,,,6.0,407489.1295729029,2025,2025-01-03 14:29:32,7,property|theft f/auto,2025-01-03 07:50:00,precinct 96,theft f/auto,007808 2,2025-01-03,14:29:32,14,Friday,January,1,False,7,46.0,property,theft f/auto,theft,Others,Closed
1D,38.9366709208,3600 - 3699 block of 14th street nw,property,"38.9366709208,-77.0327302639",4D3,140976.59,others,25015164,2025-01-31 21:10:00,-77.0327302639,burglary,cluster 2,midnight,408.0,2801.0,1.0,,,4.0,397162.31,2025,2025-01-31 23:32:08,5,property|burglary,2025-01-31 17:00:00,precinct 41,burglary,002801 2,2025-01-31,23:32:08,23,Friday,January,5,False,17,250.0,property,burglary,burglary,Others,Closed
2E,38.9106006291,2300 - 2699 block of q street nw,property,"38.9106006291,-77.0527652352",2D2,138083.38,others,25024960,2024-04-20 11:10:00,-77.0527652352,theft/other,cluster 4,day,206.0,101.0,2.0,,,2.0,395423.62,2025,2025-02-20 14:17:19,6,property|theft/other,2024-04-18 08:10:00,precinct 5,theft/other,000101 1,2025-02-20,14:17:19,14,Thursday,February,8,False,8,3060.0,property,theft/other,theft,Others,Closed
2C,38.9020888271,9th street nw and k street nw,property,"38.9020888271,-77.0239890988",1D1,137137.45148469,others,25011116,,-77.0239890988,theft f/auto,cluster 8,day,101.0,10100.0,2.0,downtown,,1.0,397919.15382002,2025,2025-01-24 10:35:37,7,property|theft f/auto,2025-01-24 00:00:00,precinct 129,theft f/auto,010100 2,2025-01-24,10:35:37,10,Friday,January,4,False,0,,property,theft f/auto,theft,Others,Open
5D,38.9142137824,1300 - 1399 block of okie street ne,property,"38.9142137824,-76.9860296578",5D3,138483.24,others,25007136,2025-01-15 22:07:00,-76.9860296578,theft f/auto,cluster 23,evening,506.0,8803.0,5.0,,,5.0,401211.6,2025,2025-01-15 22:21:35,7,property|theft f/auto,2025-01-15 22:06:00,precinct 76,theft f/auto,008803 1,2025-01-15,22:21:35,22,Wednesday,January,3,False,22,1.0,property,theft f/auto,theft,Others,Closed
8C,38.8470025598,500 - 599 block of lebaum street se,violent,"38.8470025598,-76.9978908701",7D2,131022.19,gun,25011201,2025-01-24 14:00:00,-76.9978908701,robbery,cluster 39,day,707.0,10400.0,8.0,,,7.0,400183.09,2025,2025-01-24 14:27:53,4,violent|robbery,2025-01-24 12:00:00,precinct 123,robbery,010400 3,2025-01-24,14:27:53,14,Friday,January,4,False,12,120.0,violent,robbery,robbery,Weapon,Closed
8C,38.8426718547,1000 - 1099 block of savannah street se,property,"38.8426718547,-76.9917880287",7D2,130541.4814945732,others,25011072,2025-01-24 08:30:00,-76.9917880287,motor vehicle theft,cluster 39,day,705.0,7304.0,8.0,,,7.0,400712.9105906145,2025,2025-01-24 09:11:21,8,property|motor vehicle theft,2025-01-23 21:00:00,precinct 120,motor vehicle theft,007304 2,2025-01-24,09:11:21,9,Friday,January,4,False,21,690.0,property,motor vehicle theft,theft,Others,Closed
7D,38.8961145285,1900 - 1999 block of e street ne,property,"38.8961145285,-76.9767385268",5D3,136474.2402520788,others,25011806,2025-01-25 15:52:00,-76.9767385268,motor vehicle theft,cluster 25,evening,507.0,7903.0,7.0,,,5.0,402017.8999678256,2025,2025-01-25 17:00:10,8,property|motor vehicle theft,2025-01-25 15:11:00,precinct 80,motor vehicle theft,007903 1,2025-01-25,17:00:10,17,Saturday,January,4,True,15,41.0,property,motor vehicle theft,theft,Others,Closed
5B,38.9271845722,2900 - 2999 block of 13th street ne,property,"38.9271845722,-76.988244718",5D2,139923.08,others,25012171,2025-01-26 10:40:00,-76.988244718,motor vehicle theft,cluster 22,day,504.0,9302.0,5.0,,,5.0,401019.31,2025,2025-01-26 10:42:27,8,property|motor vehicle theft,2025-01-26 09:58:00,precinct 73,motor vehicle theft,009302 1,2025-01-26,10:42:27,10,Sunday,January,4,True,9,42.0,property,motor vehicle theft,theft,Others,Closed
4B,38.9580274458,5600 - 5630 block of kansas avenue nw,property,"38.9580274458,-77.0139447785",4D2,143346.94,others,25012606,2025-01-27 07:30:00,-77.0139447785,motor vehicle theft,cluster 17,day,406.0,2102.0,4.0,,,4.0,398791.36,2025,2025-01-27 08:59:34,8,property|motor vehicle theft,2025-01-26 22:50:00,precinct 64,motor vehicle theft,002102 1,2025-01-27,08:59:34,8,Monday,January,5,False,22,520.0,property,motor vehicle theft,theft,Others,Closed
5D,38.9049896431,1500 - 1599 block of queen street ne,property,"38.9049896431,-76.9817701157",5D3,137459.35,others,25026862,2025-02-24 00:10:00,-76.9817701157,theft/other,cluster 23,day,506.0,8804.0,5.0,,,5.0,401581.22,2025,2025-02-24 13:13:00,6,property|theft/other,2025-02-23 22:30:00,precinct 78,theft/other,008804 2,2025-02-24,13:13:00,13,Monday,February,9,False,22,100.0,property,theft/other,theft,Others,Closed
2F,38.9096463914,1100 - 1199 block of p street nw,property,"38.9096463914,-77.0275595666",3D3,137976.49,others,25420067,2024-12-30 00:45:00,-77.0275595666,theft/other,cluster 7,evening,307.0,5004.0,2.0,,,3.0,397609.7,2025,2025-01-07 19:03:35,6,property|theft/other,2024-12-30 00:30:00,precinct 17,theft/other,005004 2,2025-01-07,19:03:35,19,Tuesday,January,2,False,0,15.0,property,theft/other,theft,Others,Closed
2D,38.9111268412,2202 - 2299 block of q street nw,property,"38.9111268412,-77.0498127933",2D3,138141.65,others,25420694,2025-01-29 16:05:00,-77.0498127933,theft/other,cluster 6,day,208.0,4100.0,2.0,,,2.0,395679.72,2025,2025-02-15 07:30:56,6,property|theft/other,2025-01-29 15:23:00,precinct 14,theft/other,004100 3,2025-02-15,07:30:56,7,Saturday,February,7,True,15,42.0,property,theft/other,theft,Others,Closed
3C,38.9235061934,2312 - 2399 block of calvert street nw,property,"38.9235061934,-77.0520564565",2D2,139515.97,others,25005814,2025-01-13 14:10:00,-77.0520564565,motor vehicle theft,cluster 15,day,204.0,501.0,3.0,,,2.0,395485.91,2025,2025-01-13 14:24:22,8,property|motor vehicle theft,2025-01-11 20:00:00,precinct 26,motor vehicle theft,000501 3,2025-01-13,14:24:22,14,Monday,January,3,False,20,2530.0,property,motor vehicle theft,theft,Others,Closed
8C,38.8474647013,cypress street se and poplar street se,property,"38.8474647013,-76.9935849943",7D1,131073.5084,others,25007409,2025-01-16 14:07:00,-76.9935849943,motor vehicle theft,cluster 43,day,703.0,10400.0,8.0,,,7.0,400556.8722,2025,2025-01-16 14:59:54,8,property|motor vehicle theft,2025-01-16 12:39:00,precinct 119,motor vehicle theft,010400 3,2025-01-16,14:59:54,14,Thursday,January,3,False,12,88.0,property,motor vehicle theft,theft,Others,Closed
7D,38.9085460576,4300 - 4399 block of ord street ne,property,"38.9085460576,-76.9412390972",6D1,137855.6233893607,others,25008859,2025-01-15 21:05:00,-76.9412390972,theft f/auto,cluster 29,day,601.0,9601.0,7.0,,,6.0,405096.5368026825,2025,2025-01-19 14:15:14,7,property|theft f/auto,2025-01-15 19:45:00,precinct 92,theft f/auto,009601 1,2025-01-19,14:15:14,14,Sunday,January,3,True,19,80.0,property,theft f/auto,theft,Others,Closed
4B,38.9747138874,6900 - 7099 block of georgia avenue nw,property,"38.9747138874,-77.026775527",4D1,145199.54,others,25017542,2025-02-03 03:55:00,-77.026775527,theft/other,cluster 17,midnight,401.0,10300.0,4.0,,,4.0,397679.82,2025,2025-02-06 00:05:36,6,property|theft/other,2025-02-03 03:51:00,precinct 63,theft/other,010300 3,2025-02-06,00:05:36,0,Thursday,February,6,False,3,4.0,property,theft/other,theft,Others,Closed
4D,38.9556819764,5401 - 5499 block of georgia avenue nw,property,"38.9556819764,-77.0279547478",4D1,143086.85,others,25017789,2025-02-06 05:10:00,-77.0279547478,burglary,cluster 18,midnight,403.0,2101.0,4.0,,,4.0,397576.99,2025,2025-02-06 05:10:11,5,property|burglary,2025-02-06 04:52:00,precinct 56,burglary,002101 5,2025-02-06,05:10:11,5,Thursday,February,6,False,4,18.0,property,burglary,burglary,Others,Closed
7D,38.8979140626,2500 - 2598 block of benning road ne,property,"38.8979140626,-76.9708314119",5D3,136674.15,others,25025980,,-76.9708314119,theft f/auto,cluster 25,midnight,507.0,7903.0,7.0,,,5.0,402530.27,2025,2025-02-23 06:08:37,7,property|theft f/auto,2025-02-22 00:00:00,precinct 80,theft f/auto,007903 1,2025-02-23,06:08:37,6,Sunday,February,8,True,0,,property,theft f/auto,theft,Others,Open
2B,38.9104452163,2000 - 2099 block of massachusetts avenue nw,property,"38.9104452163,-77.0457592176",2D3,138065.8,others,25027569,2025-02-25 15:39:00,-77.0457592176,theft f/auto,cluster 6,evening,208.0,5502.0,2.0,dupont circle,,2.0,396031.25,2025,2025-02-25 19:49:32,7,property|theft f/auto,2025-02-25 15:10:00,precinct 14,theft f/auto,005502 1,2025-02-25,19:49:32,19,Tuesday,February,9,False,15,29.0,property,theft f/auto,theft,Others,Closed
1A,38.9345680797,1100 - 1299 block of otis place nw,property,"38.9345680797,-77.029111843",4D3,140743.05,others,25420380,2025-01-24 15:22:00,-77.029111843,theft/other,cluster 2,evening,408.0,2900.0,1.0,,,4.0,397475.95,2025,2025-01-29 20:31:10,6,property|theft/other,2025-01-24 15:22:00,precinct 42,theft/other,002900 1,2025-01-29,20:31:10,20,Wednesday,January,5,False,15,0.0,property,theft/other,theft,Others,Closed
2F,38.9114955698,1600 - 1628 block of 13th street nw,property,"38.9114955698,-77.0296211625",3D3,138181.82,others,25420280,2025-01-18 07:05:00,-77.0296211625,theft/other,cluster 7,evening,307.0,5001.0,2.0,,,3.0,397430.96,2025,2025-01-18 18:02:12,6,property|theft/other,2025-01-18 07:04:00,precinct 16,theft/other,005001 2,2025-01-18,18:02:12,18,Saturday,January,3,True,7,1.0,property,theft/other,theft,Others,Closed
6A,38.9002005173,1100 - 1199 block of h street ne,property,"38.9002005173,-76.9908830183",1D2,136927.6,others,25017584,2025-02-05 17:12:00,-76.9908830183,theft f/auto,cluster 25,evening,104.0,8402.0,6.0,,,1.0,400790.84,2025,2025-02-05 18:22:58,7,property|theft f/auto,2025-02-05 16:42:00,precinct 82,theft f/auto,008402 1,2025-02-05,18:22:58,18,Wednesday,February,6,False,16,30.0,property,theft f/auto,theft,Others,Closed
4E,38.9471932319,1200 - 1299 block of crittenden street nw,property,"38.9471932319,-77.0282435061",4D3,142144.53,others,25018865,2025-02-08 02:13:00,-77.0282435061,motor vehicle theft,cluster 18,day,404.0,2002.0,4.0,,,4.0,397551.67,2025,2025-02-08 10:14:30,8,property|motor vehicle theft,2025-02-07 09:00:00,precinct 48,motor vehicle theft,002002 1,2025-02-08,10:14:30,10,Saturday,February,6,True,9,1033.0,property,motor vehicle theft,theft,Others,Closed
7C,38.9103199343,1500 - 1599 block of kenilworth avenue ne,property,"38.9103199343,-76.9355193145",6D1,138052.8730855438,others,25018107,2025-02-06 19:00:00,-76.9355193145,theft f/auto,cluster 31,evening,602.0,9601.0,7.0,,,6.0,405592.4942111428,2025,2025-02-06 19:17:54,7,property|theft f/auto,2025-02-06 18:31:00,precinct 92,theft f/auto,009601 1,2025-02-06,19:17:54,19,Thursday,February,6,False,18,29.0,property,theft f/auto,theft,Others,Closed
3/4G,38.9644508729,5523 - 5599 block of connecticut avenue nw,property,"38.9644508729,-77.0753099146",2D1,144062.6,others,25009695,2024-12-24 00:01:00,-77.0753099146,theft/other,cluster 10,day,201.0,1100.0,3.0,,,2.0,393473.23,2025,2025-01-21 12:06:45,6,property|theft/other,2024-12-20 00:01:00,precinct 32,theft/other,001100 1,2025-01-21,12:06:45,12,Tuesday,January,4,False,0,5760.0,property,theft/other,theft,Others,Closed
2C,38.8978328702,600 - 699 block of 11th street nw,property,"38.8978328702,-77.0270341747",2D3,136665.08,others,25021660,2025-02-13 20:33:00,-77.0270341747,theft/other,cluster 8,evening,209.0,5802.0,2.0,downtown,,2.0,397654.88,2025,2025-02-13 20:43:19,6,property|theft/other,2025-02-13 20:30:00,precinct 129,theft/other,005802 1,2025-02-13,20:43:19,20,Thursday,February,7,False,20,3.0,property,theft/other,theft,Others,Closed
2E,38.909356786,2700 - 2799 block of p street nw,property,"38.909356786,-77.056367925",2D2,137945.49,others,25420718,2025-02-13 23:18:00,-77.056367925,theft/other,cluster 4,day,206.0,101.0,2.0,,,2.0,395111.07,2025,2025-02-18 09:30:58,6,property|theft/other,2025-02-13 23:18:00,precinct 5,theft/other,000101 1,2025-02-18,09:30:58,9,Tuesday,February,8,False,23,0.0,property,theft/other,theft,Others,Closed
4C,38.9402734229,4000 - 4099 block of kansas avenue nw,property,"38.9402734229,-77.0271202835",4D3,141376.34,others,25003165,2025-01-06 07:00:00,-77.0271202835,theft f/auto,cluster 18,evening,404.0,2503.0,4.0,,,4.0,397648.81,2025,2025-01-07 22:14:33,7,property|theft f/auto,2025-01-02 06:00:00,precinct 47,theft f/auto,002503 1,2025-01-07,22:14:33,22,Tuesday,January,2,False,6,5820.0,property,theft f/auto,theft,Others,Closed
7B,38.8734637357,2334 - 2413 block of l'enfant square se,violent,"38.8734637357,-76.9717039142",6D2,133959.9508737455,others,25027571,2025-02-25 18:00:00,-76.9717039142,assault w/dangerous weapon,cluster 34,evening,607.0,7601.0,7.0,,,6.0,402455.4248642316,2025,2025-02-25 15:20:33,3,violent|assault w/dangerous weapon,2025-02-25 14:30:00,precinct 111,assault w/dangerous weapon,007601 1,2025-02-25,15:20:33,15,Tuesday,February,9,False,14,210.0,violent,assault w/dangerous weapon,assault,Others,Closed
1B,38.9215953471,2300 - 2499 block of 11th street nw,violent,"38.9215953471,-77.0270364945",3D1,139302.91,gun,25013283,2025-01-28 12:52:00,-77.0270364945,robbery,cluster 2,evening,304.0,3600.0,1.0,,,3.0,397655.46,2025,2025-01-28 15:29:39,4,violent|robbery,2025-01-28 12:50:00,precinct 23,robbery,003600 3,2025-01-28,15:29:39,15,Tuesday,January,5,False,12,2.0,violent,robbery,robbery,Weapon,Closed
5D,38.9044340732,2106 - 2199 block of maryland avenue ne,property,"38.9044340732,-76.972832355",5D3,137397.87,others,25023791,2025-02-18 09:36:00,-76.972832355,motor vehicle theft,cluster 23,day,507.0,8904.0,5.0,,,5.0,402356.48,2025,2025-02-18 14:38:03,8,property|motor vehicle theft,2025-02-18 07:41:00,precinct 79,motor vehicle theft,008904 2,2025-02-18,14:38:03,14,Tuesday,February,8,False,7,115.0,property,motor vehicle theft,theft,Others,Closed
8D,38.819387345,100 - 199 block of joliet street sw,property,"38.819387345,-77.0089097554",7D3,127956.75,others,25026700,2025-02-24 00:00:00,-77.0089097554,theft/other,cluster 39,midnight,708.0,10900.0,8.0,,,7.0,399226.26,2025,2025-02-24 00:06:38,6,property|theft/other,2025-02-23 21:55:00,precinct 126,theft/other,010900 2,2025-02-24,00:06:38,0,Monday,February,9,False,21,125.0,property,theft/other,theft,Others,Closed
3C,38.9334862861,3500 - 3599 block of macomb street nw,property,"38.9334862861,-77.0697594142",2D2,140624.87,others,25420012,2024-12-27 13:15:00,-77.0697594142,theft/other,cluster 15,evening,204.0,600.0,3.0,,,2.0,393951.64,2025,2025-01-02 15:31:53,6,property|theft/other,2024-12-27 13:15:00,precinct 27,theft/other,000600 3,2025-01-02,15:31:53,15,Thursday,January,1,False,13,0.0,property,theft/other,theft,Others,Closed
8F,38.8792863775,1 - 69 block of i street se,property,"38.8792863775,-77.0082611251",1D3,134605.96,others,25020094,2025-02-10 16:40:00,-77.0082611251,theft/other,cluster 27,evening,106.0,7202.0,6.0,capitol riverfront,,1.0,399283.19,2025,2025-02-10 21:40:22,6,property|theft/other,2025-02-10 16:35:00,precinct 131,theft/other,007202 2,2025-02-10,21:40:22,21,Monday,February,7,False,16,5.0,property,theft/other,theft,Others,Closed
6D,38.8788462051,900 - 999 block of wesley place sw,violent,"38.8788462051,-77.0162323577",1D3,134557.1902982997,gun,25027006,2025-02-24 16:07:00,-77.0162323577,robbery,cluster 9,evening,105.0,10201.0,6.0,southwest,,1.0,398591.5250206459,2025,2025-02-24 17:20:54,4,violent|robbery,2025-02-24 14:26:00,precinct 128,robbery,010201 2,2025-02-24,17:20:54,17,Monday,February,9,False,14,101.0,violent,robbery,robbery,Weapon,Closed
5D,38.9133864974,1900 - 1999 block of kendall street ne,property,"38.9133864974,-76.9871695957",5D3,138391.39,others,25024056,2025-02-18 17:05:00,-76.9871695957,theft f/auto,cluster 23,evening,506.0,8803.0,5.0,,,5.0,401112.75,2025,2025-02-18 17:05:44,7,property|theft f/auto,2025-02-18 16:05:00,precinct 76,theft f/auto,008803 1,2025-02-18,17:05:44,17,Tuesday,February,8,False,16,60.0,property,theft f/auto,theft,Others,Closed
2C,38.9045261865,1100 - 1199 block of vermont avenue nw,property,"38.9045261865,-77.0326140595",2D3,137408.25,others,25005605,2025-01-13 07:45:00,-77.0326140595,theft/other,cluster 8,day,207.0,10100.0,2.0,downtown,,2.0,397171.11,2025,2025-01-13 08:21:51,6,property|theft/other,2025-01-13 07:40:00,precinct 17,theft/other,010100 3,2025-01-13,08:21:51,8,Monday,January,3,False,7,5.0,property,theft/other,theft,Others,Closed
7D,38.8973012898,2000 - 2099 block of gales street ne,property,"38.8973012898,-76.9750736313",5D3,136606.0183002011,others,25023955,2025-02-18 06:00:00,-76.9750736313,theft f/auto,cluster 25,day,507.0,7903.0,7.0,,,5.0,402162.2913279596,2025,2025-02-18 14:05:45,7,property|theft f/auto,2025-02-17 22:00:00,precinct 80,theft f/auto,007903 1,2025-02-18,14:05:45,14,Tuesday,February,8,False,22,480.0,property,theft f/auto,theft,Others,Closed
1E,38.9269862279,700 - 999 block of harvard street nw,property,"38.9269862279,-77.0244342566",3D1,139901.28,others,25027128,2025-02-24 17:58:00,-77.0244342566,theft/other,cluster 2,evening,304.0,3500.0,1.0,,,3.0,397881.28,2025,2025-02-24 17:57:36,6,property|theft/other,2025-02-24 17:33:00,precinct 37,theft/other,003500 1,2025-02-24,17:57:36,17,Monday,February,9,False,17,25.0,property,theft/other,theft,Others,Closed
8F,38.8775257435,500 - 699 block of l street se,property,"38.8775257435,-76.997854457",1D3,134410.4860101636,others,25012268,2025-01-26 14:28:00,-76.997854457,motor vehicle theft,cluster 27,evening,106.0,7203.0,8.0,capitol riverfront,,1.0,400186.1713261257,2025,2025-01-26 15:03:05,8,property|motor vehicle theft,2025-01-26 13:35:00,precinct 131,motor vehicle theft,007203 2,2025-01-26,15:03:05,15,Sunday,January,4,True,13,53.0,property,motor vehicle theft,theft,Others,Closed
8F,38.8764799099,400 - 499 block of m street se,property,"38.8764799099,-77.0000496478",1D3,134294.3883780559,others,25009703,2025-01-21 12:21:00,-77.0000496478,theft/other,cluster 27,day,106.0,7201.0,8.0,capitol riverfront,,1.0,399995.691933949,2025,2025-01-21 12:28:30,6,property|theft/other,2025-01-21 11:34:00,precinct 131,theft/other,007201 2,2025-01-21,12:28:30,12,Tuesday,January,4,False,11,47.0,property,theft/other,theft,Others,Closed
1A,38.9263987165,2900 - 2999 block of 16th street nw,property,"38.9263987165,-77.0364888218",3D1,139836.41,others,25420077,2024-12-28 23:59:00,-77.0364888218,theft/other,cluster 2,day,302.0,2802.0,1.0,,,3.0,396835.99,2025,2025-01-08 09:00:53,6,property|theft/other,2024-12-28 19:00:00,precinct 36,theft/other,002802 2,2025-01-08,09:00:53,9,Wednesday,January,2,False,19,299.0,property,theft/other,theft,Others,Closed
